sentence,relation,entities,sentence_no_tags
A <e1>debtor</e1> gets liens released on personal household possessions for much less than the underlying debt on those secured possessions with <e2>redemption</e2>.,11,"['debtor', 'redemption']",A debtor gets liens released on personal household possessions for much less than the underlying debt on those secured possessions with redemption.
The <e1>balls</e1> were dropped into the <e2>mud</e2> from a height of about 5 metres.,6,"['balls', 'mud']",The balls were dropped into the mud from a height of about 5 metres.
STE Oil Company has all your white <e1>mineral</e1> <e2>oil</e2> needs covered.,9,"['mineral', 'oil']",STE Oil Company has all your white mineral oil needs covered.
What happens is that the <e1>system</e1> builds many inferior blood <e2>vessels</e2> in the eye to take the place of the vessels that are dying.,17,"['system', 'vessels']",What happens is that the system builds many inferior blood vessels in the eye to take the place of the vessels that are dying.
"The stage was in the cellar, and all the <e1>lights</e1> in the <e2>shop</e2> were out; groans rose from a trap-door.",2,"['lights', 'shop']","The stage was in the cellar, and all the lights in the shop were out; groans rose from a trap-door."
The <e1>mason</e1> has completed a concrete <e2>wall</e2> that creates a bathroom and storage area adjacent to a preschool classroom.,17,"['mason', 'wall']",The mason has completed a concrete wall that creates a bathroom and storage area adjacent to a preschool classroom.
Dartmouth nearly narrowed the gap to one goal when a <e1>slapshot</e1> popped out of the <e2>glove</e2> of Princeton goalie Zane Kalemba '10.,8,"['slapshot', 'glove']",Dartmouth nearly narrowed the gap to one goal when a slapshot popped out of the glove of Princeton goalie Zane Kalemba '10.
The <e1>magnetic field</e1> is generated by an electric <e2>current</e2> circulating in the star's interior.,1,"['magnetic field', 'current']",The magnetic field is generated by an electric current circulating in the star's interior.
It's funny my friend just used <e1>agave</e1> <e2>nectar</e2> in his margaritas.,9,"['agave', 'nectar']",It's funny my friend just used agave nectar in his margaritas.
This research aimed to select and validate a <e1>battery</e1> of outcome <e2>measures</e2> of recovery after lower limb burn injury (LLBI).,13,"['battery', 'measures']",This research aimed to select and validate a battery of outcome measures of recovery after lower limb burn injury (LLBI).
The <e1>species</e1> makes a squelching <e2>noise</e2>.,0,"['species', 'noise']",The species makes a squelching noise.
<e1>Tax cuts</e1> for rich are thrown into <e2>doubt</e2>.,18,"['Tax cuts', 'doubt']",Tax cuts for rich are thrown into doubt.
It is part of a furniture <e1>line</e1> conceived for Anthropologie by British interior <e2>designers</e2>.,18,"['line', 'designers']",It is part of a furniture line conceived for Anthropologie by British interior designers.
This <e1>book</e1> supplies us with a good deal of <e2>material</e2> for his biography.,14,"['book', 'material']",This book supplies us with a good deal of material for his biography.
The second <e1>discourse</e1> concerned the <e2>role</e2> of democracy in the new republic.,14,"['discourse', 'role']",The second discourse concerned the role of democracy in the new republic.
"The political <e1>unity</e1> of the Iroquois was the source of their <e2>power</e2>, but it was by no means perfect.",0,"['unity', 'power']","The political unity of the Iroquois was the source of their power, but it was by no means perfect."
"Most of Birdtown's earliest <e1>residents</e1> hailed from Eastern European <e2>countries</e2>, including Slovakia, Ukraine, Czech Republic, Poland and Carpatho-Rusyn.",8,"['residents', 'countries']","Most of Birdtown's earliest residents hailed from Eastern European countries, including Slovakia, Ukraine, Czech Republic, Poland and Carpatho-Rusyn."
These are the least expensive <e1>scissors</e1> produced by this <e2>manufacturer</e2> and are available for less than $6.00 per pair.,16,"['scissors', 'manufacturer']",These are the least expensive scissors produced by this manufacturer and are available for less than $6.00 per pair.
South Bade <e1>residents</e1> have been blown back into primitive <e2>lifestyle</e2>.,18,"['residents', 'lifestyle']",South Bade residents have been blown back into primitive lifestyle.
"In fact, a <e1>protocol</e1> copes even with Byzantine failures by using <e2>randomization</e2>.",11,"['protocol', 'randomization']","In fact, a protocol copes even with Byzantine failures by using randomization."
The website cited <e1>notes</e1> made by an <e2>investigator</e2> from the Los Angeles County Coroner's office as the source of the information.,16,"['notes', 'investigator']",The website cited notes made by an investigator from the Los Angeles County Coroner's office as the source of the information.
"Also on display are weapons made by <e1>inmates</e1> including a zip gun, shanks, two sawed-off <e2>shotguns</e2>, as well as other items such as masks and an alcohol still.",17,"['inmates', 'shotguns']","Also on display are weapons made by inmates including a zip gun, shanks, two sawed-off shotguns, as well as other items such as masks and an alcohol still."
I made the <e1>carpet</e1> by cutting a knitting wool into short <e2>strips</e2>.,2,"['carpet', 'strips']",I made the carpet by cutting a knitting wool into short strips.
Here are the news reports and photographs of the <e1>devastations</e1> caused by the <e2>storm</e2>.,1,"['devastations', 'storm']",Here are the news reports and photographs of the devastations caused by the storm.
This <e1>technique</e1> has been clearly explained in a previous <e2>issue</e2> of this magazine.,15,"['technique', 'issue']",This technique has been clearly explained in a previous issue of this magazine.
Control is a <e1>process</e1> that employs a set of <e2>procedures</e2> to ensure that defined quality standards are met on a consistent basis.,11,"['process', 'procedures']",Control is a process that employs a set of procedures to ensure that defined quality standards are met on a consistent basis.
Several <e1>chapters</e1> of the book are devoted to the <e2>relationships</e2> between ethics and justice.,14,"['chapters', 'relationships']",Several chapters of the book are devoted to the relationships between ethics and justice.
"The steel Z-shaped <e1>stent</e1> was made with a steel guide <e2>wire</e2> (0.2 mm in diameter), covered with the vascular graft, and fixed to the graft wall with multiple interrupted sutures.",3,"['stent', 'wire']","The steel Z-shaped stent was made with a steel guide wire (0.2 mm in diameter), covered with the vascular graft, and fixed to the graft wall with multiple interrupted sutures."
Literary critics have examined many <e1>themes</e1> in the <e2>novel</e2>.,15,"['themes', 'novel']",Literary critics have examined many themes in the novel.
"<e1>Crime</e1> <e2>fiction</e2> is a typically 19th and 20th century genre, dominated by British and American writers.",15,"['Crime', 'fiction']","Crime fiction is a typically 19th and 20th century genre, dominated by British and American writers."
A <e1>sample</e1> was sealed in a <e2>polyethylene bag</e2> and irradiated together with cobalt as a neutron flux determinant.,4,"['sample', 'polyethylene bag']",A sample was sealed in a polyethylene bag and irradiated together with cobalt as a neutron flux determinant.
The neonatal heel prick is a common procedure for taking a blood sample from the <e1>heel</e1> of newborn <e2>infants</e2>.,2,"['heel', 'infants']",The neonatal heel prick is a common procedure for taking a blood sample from the heel of newborn infants.
"Next up is the fingerprint scanner, the scanner was cleaned by the UKPS <e1>operator</e1> with a <e2>cloth</e2>.",11,"['operator', 'cloth']","Next up is the fingerprint scanner, the scanner was cleaned by the UKPS operator with a cloth."
Today's curious <e1>thinkers</e1> are keeping Ben's traditions alive by inventing new and improved <e2>ways</e2> to make things work.,18,"['thinkers', 'ways']",Today's curious thinkers are keeping Ben's traditions alive by inventing new and improved ways to make things work.
The <e1>editor</e1> improved the manuscript with his <e2>changes</e2>.,17,"['editor', 'changes']",The editor improved the manuscript with his changes.
The <e1>movement</e1> of the flag on the surface of the moon was caused by the <e2>vaccum</e2>.,1,"['movement', 'vaccum']",The movement of the flag on the surface of the moon was caused by the vaccum.
<e1>Jacks</e1> are spreading into <e2>areas</e2> formerly occupied by white-tails in Colorado.,6,"['Jacks', 'areas']",Jacks are spreading into areas formerly occupied by white-tails in Colorado.
The hollow <e1>bar</e1> mounting the cameras encloses a wiring <e2>harness</e2> between the cameras.,18,"['bar', 'harness']",The hollow bar mounting the cameras encloses a wiring harness between the cameras.
Blade is accepted into the inner <e1>circle</e1> of hardened <e2>criminals</e2> who run things inside the prison and is offered a job on his release.,13,"['circle', 'criminals']",Blade is accepted into the inner circle of hardened criminals who run things inside the prison and is offered a job on his release.
"Though Calder had gone to Paris to paint, he began creating figures and animals from wire and wood, gradually building up an entire <e1>circus</e1> of trapeze <e2>artists</e2>, clowns and trained animals.",13,"['circus', 'artists']","Though Calder had gone to Paris to paint, he began creating figures and animals from wire and wood, gradually building up an entire circus of trapeze artists, clowns and trained animals."
"Propionibacteria acnes, or P. acnes, are the <e1>bacteria</e1> responsible for acne <e2>breakouts</e2>.",0,"['bacteria', 'breakouts']","Propionibacteria acnes, or P. acnes, are the bacteria responsible for acne breakouts."
"Among the Hittites there was only one queen consort, but the king had a <e1>harem</e1> of <e2>wives</e2> (free women) and of slave concubines also.",13,"['harem', 'wives']","Among the Hittites there was only one queen consort, but the king had a harem of wives (free women) and of slave concubines also."
Our <e1>microwave</e1> has a turn-able <e2>turntable</e2> inside and dial-able knobs outside.,3,"['microwave', 'turntable']",Our microwave has a turn-able turntable inside and dial-able knobs outside.
"Felt dots are embroidered on the front and <e1>sleeves</e1> of this <e2>sweater</e2>, adding an extra dimension of fun.",2,"['sleeves', 'sweater']","Felt dots are embroidered on the front and sleeves of this sweater, adding an extra dimension of fun."
"In the <e1>story</e1> a <e2>mob</e2> surrounds a woman to stone her for adultery, and ask Jesus what they should do.",14,"['story', 'mob']","In the story a mob surrounds a woman to stone her for adultery, and ask Jesus what they should do."
The summer he was thirteen he organized the neighboring farmer boys into a <e1>troop</e1> of <e2>scouts</e2>.,13,"['troop', 'scouts']",The summer he was thirteen he organized the neighboring farmer boys into a troop of scouts.
"Like all new towns we have missed.the encouraging influence of a large <e1>body</e1> of <e2>alumni</e2>, only two of the thirty-five former graduates having entered college.",13,"['body', 'alumni']","Like all new towns we have missed.the encouraging influence of a large body of alumni, only two of the thirty-five former graduates having entered college."
The depression <e1>chamber</e1> contains a <e2>diaphragm</e2> under pressure from a diaphragm spring.,3,"['chamber', 'diaphragm']",The depression chamber contains a diaphragm under pressure from a diaphragm spring.
"In the <e1>poem</e1>, an <e2>albatross</e2> starts to follow a ship - being followed by an albatross was generally considered an omen of good luck.",18,"['poem', 'albatross']","In the poem, an albatross starts to follow a ship - being followed by an albatross was generally considered an omen of good luck."
The <e1>fortress</e1> had the only <e2>gate</e2> from the southwest.,3,"['fortress', 'gate']",The fortress had the only gate from the southwest.
The <e1>dissertations</e1> reported on a <e2>research project</e2> of some kind.,14,"['dissertations', 'research project']",The dissertations reported on a research project of some kind.
Body piercing jewellery specially for <e1>lobe</e1> <e2>ear</e2> piercings.,2,"['lobe', 'ear']",Body piercing jewellery specially for lobe ear piercings.
The stone <e1>ginger</e1> <e2>beer</e2> has a ginger 'bite' without the 'ginger burn' of more peppery Jamaican ginger beers.,9,"['ginger', 'beer']",The stone ginger beer has a ginger 'bite' without the 'ginger burn' of more peppery Jamaican ginger beers.
Oil <e1>extraction</e1> in the Amazon has already caused the <e2>extinction</e2> of the Tetete and Zaparo nationalities and continues to threaten indigenous peoples.,0,"['extraction', 'extinction']",Oil extraction in the Amazon has already caused the extinction of the Tetete and Zaparo nationalities and continues to threaten indigenous peoples.
"For the original stud farm, desirous of producing the best <e1>horses</e1> for the <e2>dragoons</e2> and hussars, the lighter horse of a square frame was the ideal.",10,"['horses', 'dragoons']","For the original stud farm, desirous of producing the best horses for the dragoons and hussars, the lighter horse of a square frame was the ideal."
"<e1>Listeners</e1> receive WBAI live over the <e2>internet</e2> (referred to as ""streaming""), using one of the various audio formats below.",11,"['Listeners', 'internet']","Listeners receive WBAI live over the internet (referred to as ""streaming""), using one of the various audio formats below."
The 100 MHz RF <e1>signal</e1> for the amplitude modulator was derived from a pulse pattern <e2>generator</e2> (PPG).,1,"['signal', 'generator']",The 100 MHz RF signal for the amplitude modulator was derived from a pulse pattern generator (PPG).
Even <e1>travel agents</e1> are turning to <e2>telepresence</e2> for clients.,11,"['travel agents', 'telepresence']",Even travel agents are turning to telepresence for clients.
The temperature <e1>distributions</e1> in a <e2>vial</e2> during freeze-drying of a skim milk solution were determined experimentally.,18,"['distributions', 'vial']",The temperature distributions in a vial during freeze-drying of a skim milk solution were determined experimentally.
"The first <e1>seismic arrival</e1> from an <e2>earthquake</e2> is the P wave, which is usually relatively low-amplitude.",1,"['seismic arrival', 'earthquake']","The first seismic arrival from an earthquake is the P wave, which is usually relatively low-amplitude."
I sent you a <e1>suitcase</e1> with <e2>cash</e2> in it so you can fill it up with wine gummies.,5,"['suitcase', 'cash']",I sent you a suitcase with cash in it so you can fill it up with wine gummies.
The <e1>media</e1> then creates a self fulfilling prophesy with constant <e2>reports</e2> of doom and gloom and individuals also pull their money out of the targeted bank.,17,"['media', 'reports']",The media then creates a self fulfilling prophesy with constant reports of doom and gloom and individuals also pull their money out of the targeted bank.
Google groups were sending <e1>commands</e1> to <e2>malware</e2>.,6,"['commands', 'malware']",Google groups were sending commands to malware.
Also missing was a 38 caliber Smith & Wesson <e1>gun</e1> that was in a <e2>suitcase</e2> in the tractor.,4,"['gun', 'suitcase']",Also missing was a 38 caliber Smith & Wesson gun that was in a suitcase in the tractor.
"These centres, along with appropriate educational and psychosocial interventions, helped children overcome the <e1>trauma</e1> and stress caused by the <e2>earthquake</e2>.",1,"['trauma', 'earthquake']","These centres, along with appropriate educational and psychosocial interventions, helped children overcome the trauma and stress caused by the earthquake."
But my local <e1>bellowing</e1> of <e2>bullfinches</e2> prefer natural food.,13,"['bellowing', 'bullfinches']",But my local bellowing of bullfinches prefer natural food.
American skiier Lindsey Vonn denied downhill treble as <e1>fog</e1> caused <e2>cancellation</e2> in Val d'Isere.,0,"['fog', 'cancellation']",American skiier Lindsey Vonn denied downhill treble as fog caused cancellation in Val d'Isere.
Through the night the <e1>stern</e1> continued to settle as the <e2>cruiser</e2> listed to port.,2,"['stern', 'cruiser']",Through the night the stern continued to settle as the cruiser listed to port.
This technique efficiently inserted <e1>genes</e1> into hematopoietic <e2>stem cells</e2>.,6,"['genes', 'stem cells']",This technique efficiently inserted genes into hematopoietic stem cells.
"The <e1>device</e1> was contained in a small <e2>jiffy bag</e2> with a white label, with a post mark that was ""not local"".",4,"['device', 'jiffy bag']","The device was contained in a small jiffy bag with a white label, with a post mark that was ""not local""."
Illinois race for lieutenant governor attracts a <e1>crowd</e1> of <e2>candidates</e2>.,13,"['crowd', 'candidates']",Illinois race for lieutenant governor attracts a crowd of candidates.
The opposing <e1>party</e1> hid the anvil with a <e2>view</e2> to important consequences.,18,"['party', 'view']",The opposing party hid the anvil with a view to important consequences.
A critical <e1>habitat</e1> for beluga whales in upper Cook Inlet has been created by the federal <e2>government</e2>.,16,"['habitat', 'government']",A critical habitat for beluga whales in upper Cook Inlet has been created by the federal government.
The <e1>crew</e1> had dug a <e2>trench</e2> for her to walk in so that she would not dwarf the star.,17,"['crew', 'trench']",The crew had dug a trench for her to walk in so that she would not dwarf the star.
"He came back 15 minutes later with a <e1>bottle</e1>, with three <e2>lizards</e2> in it.",5,"['bottle', 'lizards']","He came back 15 minutes later with a bottle, with three lizards in it."
Mark also spoke about post-September 11 civil rights and civil liberties <e1>issues</e1> facing <e2>immigrants</e2>.,18,"['issues', 'immigrants']",Mark also spoke about post-September 11 civil rights and civil liberties issues facing immigrants.
"The <e1>explorer</e1> journeyed into the Arctic <e2>region</e2> of the Himalayas, determined to find a copy of the Himis manuscript or to expose the fraud.",6,"['explorer', 'region']","The explorer journeyed into the Arctic region of the Himalayas, determined to find a copy of the Himis manuscript or to expose the fraud."
The judge directed the <e1>court</e1> to decide the preliminary issue raised by the <e2>petitioner</e2>.,18,"['court', 'petitioner']",The judge directed the court to decide the preliminary issue raised by the petitioner.
The NMB maintains a <e1>panel</e1> of neutral <e2>referees</e2> for service on these and certain other boards.,13,"['panel', 'referees']",The NMB maintains a panel of neutral referees for service on these and certain other boards.
He grabed one end of the <e1>broom</e1> <e2>stick</e2> as they grab the other end.,3,"['broom', 'stick']",He grabed one end of the broom stick as they grab the other end.
"In law, a <e1>bill</e1> of <e2>particulars</e2> is a list of written statements made by a party to a court proceeding, upon demand of another party, that sets forth details of a claim or defense.",13,"['bill', 'particulars']","In law, a bill of particulars is a list of written statements made by a party to a court proceeding, upon demand of another party, that sets forth details of a claim or defense."
My <e1>pug</e1> has little bumps under his <e2>chin</e2>.,3,"['pug', 'chin']",My pug has little bumps under his chin.
It has been assumed that the <e1>quench</e1> starts at the middle <e2>cross-section</e2> of the magnet.,18,"['quench', 'cross-section']",It has been assumed that the quench starts at the middle cross-section of the magnet.
"In the fall of 2003, a hidden camera-equipped <e1>journalist</e1> from Germany's ARD <e2>television</e2> infiltrated the Saudi-built King Fahd Academy in Bonn and taped what it taught to young Muslim children.",8,"['journalist', 'television']","In the fall of 2003, a hidden camera-equipped journalist from Germany's ARD television infiltrated the Saudi-built King Fahd Academy in Bonn and taped what it taught to young Muslim children."
Ice <e1>cream</e1> was made by <e2>hand</e2> in a large bowl placed inside a tub filled with ice and salt.,18,"['cream', 'hand']",Ice cream was made by hand in a large bowl placed inside a tub filled with ice and salt.
"<e1>Ruins</e1> from 800,000 <e2>years</e2> ago discovered in Israel show that Stone Age ancestors had began to organize their open-air living spaces into separate clusters for different activities such as cooking and stone manufacturing.",8,"['Ruins', 'years']","Ruins from 800,000 years ago discovered in Israel show that Stone Age ancestors had began to organize their open-air living spaces into separate clusters for different activities such as cooking and stone manufacturing."
"The <e1>user</e1> is cooling a processor with a power <e2>usage</e2> of 35W, using a conventional heatsink.",18,"['user', 'usage']","The user is cooling a processor with a power usage of 35W, using a conventional heatsink."
The hotel released <e1>effluent</e1> into the <e2>lake</e2>.,6,"['effluent', 'lake']",The hotel released effluent into the lake.
They include sending <e1>e-mails</e1> to remind customers about <e2>abandoned items</e2>.,14,"['e-mails', 'abandoned items']",They include sending e-mails to remind customers about abandoned items.
The <e1>tsunami</e1> resulted in significant property <e2>damage</e2> but only two fatalities in RS.,0,"['tsunami', 'damage']",The tsunami resulted in significant property damage but only two fatalities in RS.
"As we were leaving the house, we found a <e1>suitcase</e1> with three or four Jordanian <e2>passports</e2> in it, clothes, and hygiene gear.",5,"['suitcase', 'passports']","As we were leaving the house, we found a suitcase with three or four Jordanian passports in it, clothes, and hygiene gear."
The <e1>president</e1> has made <e2>taxes</e2> and spending the big issues again.,18,"['president', 'taxes']",The president has made taxes and spending the big issues again.
The <e1>student</e1> creates compositional forms using a sequencer or notation <e2>program</e2>.,11,"['student', 'program']",The student creates compositional forms using a sequencer or notation program.
I have placed a new <e1>memory card</e1> directly into my mobile <e2>phone</e2>.,6,"['memory card', 'phone']",I have placed a new memory card directly into my mobile phone.
Certain <e1>cricketers</e1> have been eluded from their <e2>team</e2> on accounts of injury.,8,"['cricketers', 'team']",Certain cricketers have been eluded from their team on accounts of injury.
The frozen <e1>spread</e1> was found in a <e2>sack</e2> in a former pony stable nearly a century after Captain Robert Scott's mission to the South Pole.,4,"['spread', 'sack']",The frozen spread was found in a sack in a former pony stable nearly a century after Captain Robert Scott's mission to the South Pole.
The <e1>speeches</e1> were on the subject of the <e2>relationship</e2> between institutional and poetic violence.,14,"['speeches', 'relationship']",The speeches were on the subject of the relationship between institutional and poetic violence.
"Little did these naive people realize at the time that they were embracing a foul <e1>brood</e1> of ungrateful <e2>vipers</e2>, which would soon prove to be their undoing.",13,"['brood', 'vipers']","Little did these naive people realize at the time that they were embracing a foul brood of ungrateful vipers, which would soon prove to be their undoing."
Here is one of the <e1>craters</e1> created by the <e2>meteorite</e2> Morasko.,16,"['craters', 'meteorite']",Here is one of the craters created by the meteorite Morasko.
A <e1>stent</e1> was inserted into the patient's <e2>artery</e2> in 55 minutes.,6,"['stent', 'artery']",A stent was inserted into the patient's artery in 55 minutes.
The <e1>publication</e1> has connection to an international research <e2>project</e2>.,14,"['publication', 'project']",The publication has connection to an international research project.
"By the end of the work day, the <e1>anger</e1> was radiating from the <e2>city</e2>.",1,"['anger', 'city']","By the end of the work day, the anger was radiating from the city."
"The <e1>farm</e1> comprises 80 <e2>turbines</e2> and generates 160 megawatts, nearly 2% of Denmark's total electricity consumption.",3,"['farm', 'turbines']","The farm comprises 80 turbines and generates 160 megawatts, nearly 2% of Denmark's total electricity consumption."
The power <e1>indicator</e1> of the <e2>transmitter</e2> and headphone then went off.,2,"['indicator', 'transmitter']",The power indicator of the transmitter and headphone then went off.
The Big Barn Farm friends discover a <e1>pile</e1> of <e2>junk</e2>.,18,"['pile', 'junk']",The Big Barn Farm friends discover a pile of junk.
"In view of the terrible <e1>destruction</e1> that was caused by the flood <e2>waves</e2>, we have to fear that a number of Germans, clearly in the three-digit numbers, will be among the dead.",1,"['destruction', 'waves']","In view of the terrible destruction that was caused by the flood waves, we have to fear that a number of Germans, clearly in the three-digit numbers, will be among the dead."
The conclusion <e1>chapter</e1> is cautious and organised around the six <e2>themes</e2> of the book.,14,"['chapter', 'themes']",The conclusion chapter is cautious and organised around the six themes of the book.
He also had access to a <e1>sounder</e1> of fat <e2>pigs</e2> upon which the humans feasted upon in celebration of the newly expanded farmland.,13,"['sounder', 'pigs']",He also had access to a sounder of fat pigs upon which the humans feasted upon in celebration of the newly expanded farmland.
The Appellant noticed that the switch of the circuit breaker which feeds 440 volts A.C. power to the main <e1>switchboard</e1> in the <e2>engine</e2>.,2,"['switchboard', 'engine']",The Appellant noticed that the switch of the circuit breaker which feeds 440 volts A.C. power to the main switchboard in the engine.
<e1>Wave crests</e1> are blown into the <e2>froth</e2>.,6,"['Wave crests', 'froth']",Wave crests are blown into the froth.
"This <e1>workshop</e1> analyzes credit risk <e2>factors</e2> and how these risk factors can be measured, controlled, and reduced in financial institutions.",14,"['workshop', 'factors']","This workshop analyzes credit risk factors and how these risk factors can be measured, controlled, and reduced in financial institutions."
These are some of the many ways in which Hitler and the Nazi <e1>party</e1> used <e2>propaganda</e2> in order to brainwash and manipulate people into thinking that the Nazi party was a good party to be in.,11,"['party', 'propaganda']",These are some of the many ways in which Hitler and the Nazi party used propaganda in order to brainwash and manipulate people into thinking that the Nazi party was a good party to be in.
"Harriers are large, slender hawk-like <e1>birds</e1> with long <e2>tails</e2> and long, thin legs.",3,"['birds', 'tails']","Harriers are large, slender hawk-like birds with long tails and long, thin legs."
This is wishful <e1>thinking</e1> by a <e2>scribe</e2> who is more blind to the reality than those he accuses of blindness.,18,"['thinking', 'scribe']",This is wishful thinking by a scribe who is more blind to the reality than those he accuses of blindness.
I am just joining the queue of disappointed parents and upset children as i bought a <e1>marshmallow</e1> <e2>maker</e2> and toffee apple maker.,16,"['marshmallow', 'maker']",I am just joining the queue of disappointed parents and upset children as i bought a marshmallow maker and toffee apple maker.
Chris Caisley remains the <e1>head</e1> of the <e2>team</e2> and sources were keen to pinpoint his previous experience as chairman of the Bradford Bulls rugby league club.,12,"['head', 'team']",Chris Caisley remains the head of the team and sources were keen to pinpoint his previous experience as chairman of the Bradford Bulls rugby league club.
Public education systems have carried <e1>nations</e1> into <e2>prosperity</e2>.,18,"['nations', 'prosperity']",Public education systems have carried nations into prosperity.
The <e1>nitric oxide</e1> was contained in a large <e2>gold-plated cylinder</e2> in which it was ionized by krypton resonance radiation.,4,"['nitric oxide', 'gold-plated cylinder']",The nitric oxide was contained in a large gold-plated cylinder in which it was ionized by krypton resonance radiation.
Making and fitting <e1>horseshoes</e1> was only part of the life of a <e2>blacksmith</e2>.,18,"['horseshoes', 'blacksmith']",Making and fitting horseshoes was only part of the life of a blacksmith.
It's hell in the hospitals where the amputees's <e1>screaming</e1> after the <e2>lapse</e2> of morphine is heard all the time.,1,"['screaming', 'lapse']",It's hell in the hospitals where the amputees's screaming after the lapse of morphine is heard all the time.
"Williams, who is regarded as ""the first among equals"" within the <e1>communion</e1> of <e2>leaders</e2> that represent 160 countries and some 75 million Anglicans worldwide, has sought to find a delicate balance within the deeply divided group of primates.",13,"['communion', 'leaders']","Williams, who is regarded as ""the first among equals"" within the communion of leaders that represent 160 countries and some 75 million Anglicans worldwide, has sought to find a delicate balance within the deeply divided group of primates."
"Since the ultimate purpose of the company is that of sales, the sales <e1>department</e1> is rightly recognized as one of the major departments of the <e2>business</e2>.",2,"['department', 'business']","Since the ultimate purpose of the company is that of sales, the sales department is rightly recognized as one of the major departments of the business."
The <e1>sergeant</e1> got out from the police <e2>car</e2>.,8,"['sergeant', 'car']",The sergeant got out from the police car.
Scientists discovered that these <e1>drugs</e1> were related to heart valve <e2>disease</e2>.,0,"['drugs', 'disease']",Scientists discovered that these drugs were related to heart valve disease.
"In the <e1>book</e1>, the main female <e2>character</e2> is a woman named Messua who adopts Mowgli.",15,"['book', 'character']","In the book, the main female character is a woman named Messua who adopts Mowgli."
Guinea <e1>unions</e1> threaten junta with <e2>walkout</e2>.,11,"['unions', 'walkout']",Guinea unions threaten junta with walkout.
Beeswax is a natural wax produced in the bee <e1>hive</e1> of honey <e2>bees</e2> of the genus Apis.,18,"['hive', 'bees']",Beeswax is a natural wax produced in the bee hive of honey bees of the genus Apis.
"Bevilona, pretending astonished fear, hides the frightened <e1>peasant</e1> in a <e2>cask</e2>.",6,"['peasant', 'cask']","Bevilona, pretending astonished fear, hides the frightened peasant in a cask."
"Typically, <e1>varieties</e1> of this sort were grown on flat land by <e2>peasants</e2>.",18,"['varieties', 'peasants']","Typically, varieties of this sort were grown on flat land by peasants."
"However, some person had broken the <e1>padlock</e1> of the <e2>chain</e2> across the road.",2,"['padlock', 'chain']","However, some person had broken the padlock of the chain across the road."
"In other words, the <e1>bow</e1> of the <e2>vessel</e2> points at the 'windy' extended edge of the table.",2,"['bow', 'vessel']","In other words, the bow of the vessel points at the 'windy' extended edge of the table."
"I liked how his D <e1>cells</e1> were in a <e2>box</e2> behind the counter, with no prices on them, as if they were contraband or moonshine.",4,"['cells', 'box']","I liked how his D cells were in a box behind the counter, with no prices on them, as if they were contraband or moonshine."
The <e1>pepper</e1> is added to the <e2>salad</e2> before serving.,6,"['pepper', 'salad']",The pepper is added to the salad before serving.
The <e1>criminals</e1> that caused the <e2>fire</e2> illegally entered our country.,0,"['criminals', 'fire']",The criminals that caused the fire illegally entered our country.
These <e1>views</e1> were reflected in his building <e2>designs</e2>.,18,"['views', 'designs']",These views were reflected in his building designs.
A <e1>basket</e1> such as you mention holds four <e2>ears</e2> of corn.,5,"['basket', 'ears']",A basket such as you mention holds four ears of corn.
<e1>Eucharist</e1> is the source of the Church's <e2>mission</e2>.,9,"['Eucharist', 'mission']",Eucharist is the source of the Church's mission.
"It's fairly rare that I follow an exact <e1>recipe</e1> from a <e2>magazine</e2>, but every once in a while a photo calls to me.",8,"['recipe', 'magazine']","It's fairly rare that I follow an exact recipe from a magazine, but every once in a while a photo calls to me."
"We removed some living branches and new growth, thus maximizing light penetration and air flow through the <e1>crown</e1> of the <e2>tree</e2>.",2,"['crown', 'tree']","We removed some living branches and new growth, thus maximizing light penetration and air flow through the crown of the tree."
"Then, certain texts do talk about English <e1>society</e1> of various <e2>ages</e2>.",18,"['society', 'ages']","Then, certain texts do talk about English society of various ages."
A <e1>pack</e1> of the most popular <e2>cigarettes</e2> in the Seychelles in 2008 cost $15 at purchasing-power parity (PPP).,5,"['pack', 'cigarettes']",A pack of the most popular cigarettes in the Seychelles in 2008 cost $15 at purchasing-power parity (PPP).
Sufficient coagulation-deficient <e1>fluids</e1> were given to surgical <e2>patients</e2>.,6,"['fluids', 'patients']",Sufficient coagulation-deficient fluids were given to surgical patients.
"This website, www.fertilityuk.org, shows how to interpret the changes that take place in the mucus <e1>secretions</e1> produced by the <e2>cells</e2> lining the cervix.",16,"['secretions', 'cells']","This website, www.fertilityuk.org, shows how to interpret the changes that take place in the mucus secretions produced by the cells lining the cervix."
The iron <e1>tablets</e1> were in a <e2>box</e2> on the floor.,4,"['tablets', 'box']",The iron tablets were in a box on the floor.
The next shot shows only a <e1>suitcase</e1> with neatly folder <e2>clothes</e2> in it on the bed.,5,"['suitcase', 'clothes']",The next shot shows only a suitcase with neatly folder clothes in it on the bed.
"A cable or rode is the rope, chain, or combination thereof used to connect the <e1>anchor</e1> to the <e2>vessel</e2>.",2,"['anchor', 'vessel']","A cable or rode is the rope, chain, or combination thereof used to connect the anchor to the vessel."
"The warm version of leek and <e1>potato</e1> <e2>soup</e2> was handed down to him by his mother, Annette Diat.",9,"['potato', 'soup']","The warm version of leek and potato soup was handed down to him by his mother, Annette Diat."
Her naked and decomposing <e1>body</e1> was discovered inside a locked <e2>cupboard</e2> in an Auckland building.,4,"['body', 'cupboard']",Her naked and decomposing body was discovered inside a locked cupboard in an Auckland building.
