sentence,entities,gt_relation,pred_relation,pred_edge,is_edge_test_contradictory,exec_time
"This revised edition incorporates new research findings and advances in the treatment of genetic disorders, including gene-directed therapies.","['edition', 'findings']",14,1,"('findings', 'edition')",False,00:00:19
"Fish swim in a shoal, but they fall one by one.","['Fish', 'shoal']",12,0,"('Fish', 'shoal')",False,00:00:39
All bookmarks have been exported to a single file.,"['bookmarks', 'file']",6,0,"('bookmarks', 'file')",False,00:00:26
The team used the newly-developed nanoparticle to build therapies for treating individuals with cardiovascular disease.,"['team', 'nanoparticle']",11,0,"('team', 'nanoparticle')",False,00:00:28
Tobia made a stunning revelation in a phone call in September 2002.,"['revelation', 'phone call']",15,1,"('phone call', 'revelation')",False,00:00:29
It was also home to a bale of snapping turtles and a siege of great blue herons.,"['siege', 'herons']",13,-1,[],False,00:00:42
"The indenter is pushed into the material, and both the load and displacement increase.","['indenter', 'material']",6,0,"('indenter', 'material')",False,00:00:22
The latest issue of Five Bells has been sent to poet union members.,"['issue', 'members']",6,-1,[],False,00:00:28
Cruisers and large yachts have much more sophisticated fittings that that require more skills.,"['Cruisers', 'fittings']",3,0,"('Cruisers', 'fittings')",False,00:00:31
The accused killed the victim with a kirpan and separated the head from the body and threw it in a canal near Nabha.,"['accused', 'kirpan']",11,-1,[],False,00:01:04
There are enough gills there to serve the oxygen demands of an entire shiver of whale sharks.,"['shiver', 'sharks']",13,-1,[],False,00:00:57
The inhabitants send messages to each other by placing the message in a capsule and placing the capsule in a message tube.,"['capsule', 'tube']",6,-1,[],False,00:00:38
The finished doll was made with stockings for the face and a baby sock for the body.,"['doll', 'stockings']",3,1,"('stockings', 'doll')",False,00:00:30
It is the document repository of extremely valuable archival documents illustrating the history of the Spanish Empire.,"['documents', 'history']",14,1,"('history', 'documents')",True,00:00:50
"This ""all around immature nice guy"" is, above all, a choreographer, having devised the moves to the film adaptation of Hairspray.","['choreographer', 'moves']",18,0,"('choreographer', 'moves')",False,00:00:27
"The state has assembled a $230 million incentive package to lure the project, which could mean as many as 9000 jobs.","['state', 'package']",18,0,"('state', 'package')",False,00:00:22
"When you strike someone with a bottle full of carbonated beverage, apparently a vacuum is created and then quickly refills, which is somehow capable of breaking the glass.","['bottle', 'carbonated beverage']",5,1,"('carbonated beverage', 'bottle')",True,00:00:55
Welding wire is coiled in a pail and used as an electrode in an automatic or semiautomatic welding operation.,"['wire', 'pail']",4,-1,[],False,00:00:35
Various configurations have been illustrated in the drawings.,"['configurations', 'drawings']",15,0,"('configurations', 'drawings')",False,00:00:33
Avci was the head of the chief of the police in Diyarbakir between 1984 and 1992.,"['head', 'police']",12,0,"('head', 'police')",True,00:01:03
"The series comprises some re-issues of the previous books, as well as new titles.","['series', 'titles']",3,0,"('series', 'titles')",False,00:00:28
The agitating students also put up a barricade on the Dhaka-Mymensingh highway disrupting vehicular movement for about two hours from 10:30am to 12:30pm.,"['students', 'barricade']",17,0,"('students', 'barricade')",False,00:00:24
The solution comprises the creation of a decentralized Internet host name resolution system with flat hierarchy on the basis of Metrized Small World data structure.,"['solution', 'creation']",18,0,"('solution', 'creation')",False,00:00:35
"With an innate desire to know and to do, mankind has progressed past placing a dead fish in every hill of corn, beans and squash.","['hill', 'corn']",18,-1,[],False,00:00:49
"Mayans charted Venus's motion across the sky, poured chocolate into jars and interred them with the dead.","['chocolate', 'jars']",6,-1,[],False,00:00:36
The elephant descended from an aquatic animal.,"['elephant', 'animal']",8,1,"('animal', 'elephant')",False,00:00:21
"A special meeting of the shareholders of Lydia Diamond was held on December 23rd, 2009 and the Sale was approved by the shareholders.","['meeting', 'shareholders']",18,1,"('shareholders', 'meeting')",False,00:00:36
He inserted a needle into the tattoo machine.,"['needle', 'machine']",6,-1,[],False,00:00:29
"The aim of this study, therefore, was to examine the embryo quality obtained from vitrified, warmed oocytes in a standard infertility population.","['quality', 'oocytes']",18,1,"('oocytes', 'quality')",False,00:00:43
"The letter was sent from group to group of the dispersed believers to try and build them up ""to encourage them"" to fill them with hope.","['letter', 'group']",6,1,"('group', 'letter')",True,00:00:48
"The level surface closest to the MSS, known as the geoid, departs from an ellipsoid by about 100 m in each direction.","['geoid', 'ellipsoid']",18,-1,[],False,00:00:38
"After soaking them overnight, we slipped the beans into a fairly wide-necked wine flask that's been peeled of its straw wrapper.","['beans', 'flask']",6,-1,[],False,00:00:27
Students actually benefit from study through an STS approach.,"['study', 'approach']",11,-1,[],False,00:00:42
"In the 2006 campaign, the governor won the Hispanic vote with appearances such as one at Casa de Maryland.","['governor', 'appearances']",18,0,"('governor', 'appearances')",False,00:00:33
"The bomb was hidden in a handcart near the Mar Toma Church, also known as Church of St. Thomas, in the city of Mosul.","['bomb', 'handcart']",4,-1,[],False,00:00:54
"She does, however, remember walking through campus when a chipper salesman gave her a fistful of bright orange coupons offering her and her friends complimentary slices of pizza.","['fistful', 'coupons']",13,0,"('fistful', 'coupons')",True,00:00:53
I have imported an audio book into the software.,"['book', 'software']",6,-1,[],False,00:00:30
The soldiers moved into the deep jungle.,"['soldiers', 'jungle']",6,-1,[],False,00:00:34
"The chair of the corporation, at the time of election, shall be either a former President, the retiring President, or a member (not emeritus) of the Corporation.","['chair', 'corporation']",18,1,"('corporation', 'chair')",False,00:00:25
The hole was found in a piece of the package that was ripped off near its edge.,"['hole', 'piece']",18,-1,[],False,00:00:23
"The mummy originally was inside a wooden coffin, which had deteriorated.","['mummy', 'wooden coffin']",4,-1,[],False,00:00:51
"The game was sealed in the original packing, unopened and untouched.","['game', 'packing']",4,0,"('game', 'packing')",True,00:00:57
The oculomotor nerve rests in a cistern within the sinus roof.,"['nerve', 'cistern']",2,-1,[],False,00:00:28
A baby girl was murdered and her body stuffed in a sack and dumped in a water body in the capital's Pallabi area.,"['body', 'sack']",6,-1,[],False,00:00:38
The new model is moving into new territory with revisions.,"['model', 'territory']",6,-1,[],False,00:00:43
He also pointed out that on the Sabbath the priests broke the commandment with priestly work.,"['priests', 'work']",18,0,"('priests', 'work')",False,00:00:25
The sagas developed from the oral culture of the Viking Age.,"['sagas', 'oral culture']",8,1,"('oral culture', 'sagas')",False,00:00:20
Hogarth also decorated the walls of the hospital with works of art donated by contemporary British artists.,"['walls', 'hospital']",2,-1,[],False,00:00:28
They are storing the solution in a non-food refrigerator to avoid degradation and transfer what is immediately needed to a spray bottle for manual cleaning.,"['solution', 'refrigerator']",4,-1,[],False,00:00:46
"In a desperate attempt, the company poured money into the project.","['money', 'project']",6,0,"('money', 'project')",False,00:00:22
"My grandparents rest beneath a stone that shows a farmer plowing with a mule, an emblem of the way they began their lives together back in the 1930s.","['farmer', 'mule']",11,0,"('farmer', 'mule')",False,00:00:31
The temperature at which flower buds are injured depends.,"['flower', 'buds']",3,-1,[],False,00:00:39
Her clothes were in a box with no lid sitting on the next higher step.,"['clothes', 'box']",4,-1,[],False,00:00:22
The venter encloses a venter canal cell and an egg cell.,"['venter', 'cell']",3,-1,[],False,00:00:39
"Feedback, as defined earlier in this chapter, is information that can be used to modify or maintain previous behaviours.","['Feedback', 'chapter']",15,-1,[],False,00:00:35
"The train arrives from a distant point and bears down on the viewer, finally crossing the lower edge of the screen.","['train', 'point']",8,-1,[],False,00:00:45
"In a shocking incident, the body of a 10-year-old school boy, a resident of Jaylal Munshi Ka Rasta in Nahargarh area, was found in a sack with his mouth glued with feviquick on the railway tracks near Chanani Railway Station in Niwai area of Tonk district on Thursday evening.","['body', 'sack']",4,-1,[],False,00:00:33
"He likewise directed Edric to fling out his nets, who was rewarded with a miraculous draught of salmons.","['draught', 'salmons']",13,0,"('draught', 'salmons')",False,00:00:28
"Five has launched a website, Holy Soap, dedicated to popular television soap operas across all channels.","['website', 'soap operas']",14,1,"('soap operas', 'website')",False,00:00:25
"The Aroon indicator system consists of two lines, 'Aroon(up)' and 'Aroon(down)'.","['system', 'lines']",3,0,"('system', 'lines')",True,00:00:52
The fire started when the owner lit a fire behind the house.,"['owner', 'fire']",17,0,"('owner', 'fire')",False,00:00:21
A street writer who specialises in love letters becomes involved with one of the addressees.,"['writer', 'letters']",17,0,"('writer', 'letters')",False,00:00:34
The name of the aquarium was derived from a public vote amongst Japanese people.,"['name', 'vote']",8,1,"('vote', 'name')",False,00:00:28
She has fetched the poodle into the same acre of ground as pup.,"['poodle', 'acre']",6,-1,[],False,00:00:33
The avalanches originated in an extensive mass of rock that had previously been hydrothermally altered in large part to clay.,"['avalanches', 'mass']",8,1,"('mass', 'avalanches')",False,00:00:36
The exhibition describes the fight against the forces of nature that has been central to the history of Vasa ever since it sunk in 1628.,"['exhibition', 'fight']",14,1,"('fight', 'exhibition')",True,00:00:55
We placed some wax into the old tin can.,"['wax', 'can']",6,-1,[],False,00:00:26
"I looked straight under the nose of the plane and sure enough, I was directly over the tiny airstrip.","['nose', 'plane']",2,-1,[],False,00:00:55
The executive board of this company reported on its activities and answered questions from the audience.,"['executive board', 'company']",2,1,"('company', 'executive board')",False,00:00:40
They have also taken a very personal story about one family and a box of toys from the future and turned it into an epic story in which childlike innocence saves the human race.,"['toys', 'future']",8,1,"('future', 'toys')",False,00:00:23
"He unwinded the pocketwatch by letting down the mainspring, a ribbon of tightly rolled steel inside the mainspring barrel.","['pocketwatch', 'mainspring']",3,0,"('pocketwatch', 'mainspring')",True,00:00:47
"OVATION is the television network devoted exclusively to the arts, featuring programming on visual arts, theater, opera, music and dance.","['television network', 'arts']",14,-1,[],False,00:00:44
A penal code is a portion of a state's laws defining crimes and specifying the punishment.,"['laws', 'crimes']",14,-1,[],False,00:00:25
A normal beer is 8 zlots (2 euros) and a beer with raspberry syrup is 9 zlots.,"['raspberry', 'syrup']",9,0,"('raspberry', 'syrup')",True,00:00:53
"In a cloudless, new moon sky, a billion stars lit the heavens.","['stars', 'heavens']",18,-1,[],False,00:00:44
"In a peep of bantam chickens, proliferative skin lesions were observed on the shanks of 6 of 29 birds, with digit necrosis observed in some birds.","['peep', 'chickens']",13,-1,[],False,00:00:31
The cover of the inner artwork of the record was analysed in an article published in 2008.,"['cover', 'article']",15,0,"('cover', 'article')",False,00:00:23
The workers build the honeycomb in which the eggs are laid and the honey and pollen is stored.,"['workers', 'honeycomb']",17,0,"('workers', 'honeycomb')",False,00:00:22
The blue plastic cutting board behind it was in a box lot I bought at an auction.,"['cutting board', 'box']",4,-1,[],False,00:00:27
"Instead of ""dominance"" and ""submission"", he uses the terms ""assertiveness"" and ""passiveness"" to reflect the role of the wolf in the pack.","['wolf', 'pack']",12,-1,[],False,00:00:25
The chronic myelogenous leukemia-specific P210 protein is the product of the bcr/abl hybrid gene.,"['protein', 'gene']",18,1,"('gene', 'protein')",False,00:00:23
The purpose of the audit was to report on the financial statements.,"['audit', 'financial statements']",18,1,"('financial statements', 'audit')",False,00:00:31
The stomach was full of fine gravel and small seeds.,"['stomach', 'gravel']",5,-1,[],False,00:00:33
I bore my chalice safely through a throng of foes.,"['throng', 'foes']",13,-1,[],False,00:00:28
"The body is already removed for an autopsy and placed in a lead coffin, which is put inside a wooden case.","['coffin', 'case']",4,0,"('coffin', 'case')",True,00:00:47
The robot reached the goal using a smaller number of internal states than with the conventional methods.,"['robot', 'states']",3,0,"('robot', 'states')",False,00:00:37
A teacher writes a whole number less than 50000 on the blackboard.,"['teacher', 'blackboard']",11,0,"('teacher', 'blackboard')",False,00:00:21
It was a whole flying wedge of white swans flying over Wall Street marking the market in their own charming way.,"['wedge', 'swans']",3,1,"('swans', 'wedge')",True,00:00:36
"Unfortunately, my friend falls in love easily and breaks her heart all the time.","['friend', 'love']",18,0,"('friend', 'love')",False,00:00:41
"This has made it much richer, rather like fried bread and altogether different from the crisp rectangles produced by the modern cook.","['rectangles', 'cook']",16,1,"('cook', 'rectangles')",False,00:00:22
Billions flow into unit trust-linked products.,"['Billions', 'products']",6,0,"('Billions', 'products')",False,00:00:27
"The corporation has constructed railways in Ukraine, Guinea, Iran, Iraq, and Syria.","['corporation', 'railways']",17,0,"('corporation', 'railways')",False,00:00:24
"The faded glamour of American roadside diners, cinemas and motels is the subject of a new photography exhibition at the Fox Talbot Museum.","['glamour', 'exhibition']",15,0,"('glamour', 'exhibition')",False,00:00:39
"After completing the resetting through the reset signal, the bit period transmitted by the master module 30 is received.","['resetting', 'signal']",18,1,"('signal', 'resetting')",False,00:00:15
The kit includes an on-off-on toggle switch for the clipper switching and modifications.,"['kit', 'toggle switch']",3,0,"('kit', 'toggle switch')",False,00:00:35
Blood arrives from the animal via suitable tubing and enters the pump.,"['Blood', 'animal']",8,1,"('animal', 'Blood')",False,00:00:27
"In biological anatomy, the mesencephalon (or midbrain) comprises the tectum (or corpora quadrigemini), tegmentum, the ventricular mesocoelia (or ""iter""), and the cerebral peduncles, as well as several nuclei and fasciculi.","['mesencephalon', 'tectum']",3,0,"('mesencephalon', 'tectum')",True,00:00:43
The company rescheduled the new construction to early next year.,"['construction', 'next year']",6,-1,[],False,00:00:28
"A sailing ship is scratched in a jug marked ""G. Goodale, Hartford.""","['ship', 'jug']",4,-1,[],False,00:00:30
Past consciousness is travelling into the future.,"['consciousness', 'future']",6,-1,[],False,00:00:26
"About two months later, the baby alligator breaks open the egg with a sharp pick on the end of the nose called an ""egg tooth"".","['alligator', 'pick']",3,0,"('alligator', 'pick')",False,00:00:22
"Because some of these terms are used in the case study chapters later in the book, they are defined here now.","['chapters', 'book']",2,1,"('book', 'chapters')",False,00:00:29
The plane was in a crate and the put on a Flatbed truck and taken to the SAR Hangar.,"['plane', 'crate']",4,-1,[],False,00:00:19
"He held the vessel with his right hand and poured water into his left hand, and washed his hands up to the wrist.","['water', 'hand']",6,1,"('hand', 'water')",True,00:00:36
Most of the vapor that is in the air evaporated from the surface of the oceans.,"['vapor', 'oceans']",8,1,"('oceans', 'vapor')",False,00:00:26
One of my woodworkers got imprisoned as a result of a bloody noble putting up an export ban after the caravan had left the depo.,"['caravan', 'depo']",8,1,"('depo', 'caravan')",False,00:00:35
"The tea was in a glass with pink flowers on the rim, served on a small porcelain plate with a European pastoral scene of a man in knee britches holding hands with a woman in a long dress.","['tea', 'glass']",4,-1,[],False,00:00:32
"The second memorable shift was in September, when the plant made the 75-millionth ton of steel.","['plant', 'steel']",17,0,"('plant', 'steel')",False,00:00:21
The box regulated the temperature using an odoff controller and T2 as temperature reference.,"['box', 'controller']",3,1,"('controller', 'box')",False,00:00:27
"But, Lord King, he has with him a meinie of full forty knights.","['meinie', 'knights']",13,-1,[],False,00:00:42
"This extensor mechanism is composed chiefly of the quadriceps femoris (rectus femoris, vastus lateralis, vastus intermedius, vastus medialis), quadriceps tendon, patella, and patellar tendon.","['mechanism', 'patella']",3,-1,[],False,00:00:25
"I carried a bag with condoms in it, and I gave them out.","['bag', 'condoms']",5,-1,[],False,00:00:15
These standards are under discussion and not yet published.,"['standards', 'discussion']",15,0,"('standards', 'discussion')",False,00:00:26
"However, the Barbary macaque grows a big thick coat for the winter, which means they can live outside all year.","['macaque', 'coat']",3,0,"('macaque', 'coat')",False,00:00:21
"Anderson is regarded as one of the most able and articulate members of Congress, but he has a voting record that is anathema to most other congressmen in his party.","['congressmen', 'party']",12,-1,[],False,00:00:28
The melt water has transported sediments into the lake.,"['sediments', 'lake']",6,-1,[],False,00:00:28
"The review published political commentary and opinion, but even more than that.","['review', 'commentary']",3,0,"('review', 'commentary')",False,00:00:37
NUS today responded to the Government's announcement of the long-awaited review of university funding.,"['announcement', 'review']",14,0,"('announcement', 'review')",True,00:00:49
The handbag was locked in a glass display case.,"['handbag', 'display case']",4,-1,[],False,00:00:39
"In his poem, written by the riverside near the battle-ground, Mr. Emerson alluded to ""Yon stem headstone"".","['poem', 'riverside']",18,1,"('riverside', 'poem')",False,00:00:29
The intestines have migrated into the abdomen from the umbilical cord.,"['intestines', 'abdomen']",6,-1,[],False,00:00:27
"Caryn James, a film critic for The New York Times, has just completed a novel.","['critic', 'novel']",17,0,"('critic', 'novel')",True,00:01:04
The incidents of his travels were related in a succession of books.,"['incidents', 'books']",15,0,"('incidents', 'books')",False,00:00:27
The focus is going away from the display button.,"['focus', 'button']",8,-1,[],False,00:00:30
Asparagus is a natural cure for cancer.,"['Asparagus', 'cancer']",18,-1,[],False,00:00:47
Villagers in the Netherlands are glad to have a mustering of stork visit them.,"['mustering', 'stork']",13,-1,[],False,00:00:43
A case of craniopharyngioma originating in the sphenoid bone is presented.,"['craniopharyngioma', 'bone']",8,-1,[],False,00:00:32
"Early in the book, a seashore tide pool is used as an exquisite metaphor for discovery.","['book', 'pool']",14,-1,[],False,00:00:33
The remaining power is exported to the grid.,"['power', 'grid']",6,0,"('power', 'grid')",True,00:00:49
The sinus rinse went into ear canal.,"['sinus rinse', 'ear canal']",6,0,"('sinus rinse', 'ear canal')",False,00:00:22
"In 1882 Louis developed a method of making photographic plates, and by 1894 the brothers' factory was producing 15 million plates a year.","['factory', 'plates']",17,0,"('factory', 'plates')",False,00:00:32
Cold air at the surface moved southward into the mountains of Colorado.,"['Cold air', 'mountains']",6,-1,[],False,00:00:28
"The translucent blue plastic belied the heady resonance of the instrument, and like a mission of monkeys, several coworkers were lured into the room by the dulcet tones of my accordion.","['mission', 'monkeys']",13,-1,[],False,00:00:29
"Her shallow waters seethe at times, standing tall and swaying back and forth like a quiver of king cobras.","['quiver', 'cobras']",13,-1,[],False,00:00:33
The curved roach on a square sail was dependent on the angle or height of the stay immediately below it.,"['roach', 'sail']",2,1,"('sail', 'roach')",False,00:00:34
Coquina is a poorly consolidated limestone composed of pieces of coral or shells.,"['limestone', 'pieces']",3,1,"('pieces', 'limestone')",False,00:00:24
The dark heartwood is the source of the brilliant red dye hematoxylin.,"['heartwood', 'hematoxylin']",9,0,"('heartwood', 'hematoxylin')",False,00:00:27
The beer acts as a great hair of the dog.,"['beer', 'dog']",18,-1,[],False,00:00:50
The company has run into a financial problem over the last few years.,"['company', 'problem']",18,0,"('company', 'problem')",False,00:00:46
The curved spans of the bridge are the original sections.,"['spans', 'bridge']",2,-1,[],False,00:00:29
A girl plays her violin on a pogo stick.,"['girl', 'stick']",18,0,"('girl', 'stick')",True,00:01:03
A surgeon carefully applies the splints to the forearm.,"['surgeon', 'splints']",11,0,"('surgeon', 'splints')",False,00:00:21
The body was inside a duffel bag that was secured with duct tape.,"['body', 'duffel bag']",4,-1,[],False,00:00:51
Mado manages to escape and kidnaps the scientist's niece.,"['scientist', 'niece']",18,-1,[],False,00:00:34
A friend had given her purple scraps from a clothing factory in a nearby town.,"['clothing', 'factory']",16,1,"('factory', 'clothing')",False,00:00:28
Peanut butter cookies are simply cookies that use peanut butter as one of the ingredients.,"['Peanut butter', 'cookies']",9,0,"('Peanut butter', 'cookies')",False,00:00:40
"Fall planting cannot be completed before the ground freezes, so I stored the seeds in a stratification unit until spring.","['seeds', 'stratification unit']",6,1,"('stratification unit', 'seeds')",True,00:00:46
Two years ago I made cranberry sauce to die for.,"['cranberry', 'sauce']",9,0,"('cranberry', 'sauce')",False,00:00:31
One of the Grand Canyon tour guides has a barren of mules for the tourists to ride down into the Canyon.,"['barren', 'mules']",13,-1,[],False,00:00:38
The supreme court has applied the protections of this amendment to the states through the Due Process Clause of the Fourteenth Amendment.,"['supreme court', 'protections']",11,0,"('supreme court', 'protections')",False,00:00:26
The pontiff's body was contained in a plain cypress coffin.,"['body', 'cypress coffin']",4,-1,[],False,00:00:33
"Brief guides have been prepared on maps, school histories, electoral rolls, land tenure, government buildings, railways and hotel licensing.","['guides', 'maps']",14,1,"('maps', 'guides')",False,00:00:31
A without notice injunction was obtained at very short notice under which the tenant was excluded from his own home and the block of flats in which he lived.,"['tenant', 'home']",8,-1,[],False,00:00:33
The screenplay by Patterson McNutt and Arthur J. Beckhard focuses on the adoption of a young orphan (Shirley Temple) by a wealthy bachelor (John Boles).,"['orphan', 'bachelor']",18,-1,[],False,00:00:53
"The essay inquires into the origins, nature, and usage of the term in multiple contexts.","['essay', 'origins']",14,-1,[],False,00:00:35
Our objective is to review advances in the molecular biology and pharmacogenomics of lung cancer and how they apply to personalizing medicine.,"['advances', 'biology']",18,1,"('biology', 'advances')",False,00:00:32
This paper is a review of frequency stability measurement techniques and of noise properties of frequency sources.,"['paper', 'techniques']",14,-1,[],False,00:00:31
The crew assisted with the investigation and was in service for around an hour.,"['crew', 'investigation']",18,-1,[],False,00:00:32
This data has been concerning primarily assembly operations.,"['data', 'operations']",18,1,"('operations', 'data')",True,00:00:45
The third bid was from a window company that does its own installation.,"['bid', 'company']",16,1,"('company', 'bid')",False,00:00:24
Interior chief adds hurdles for drilling on public lands.,"['hurdles', 'drilling']",18,1,"('drilling', 'hurdles')",False,00:00:31
"When the Amendment was transcribed, the semicolon in the religious exemption portion was changed to a comma by the Senate scribe.","['comma', 'scribe']",16,1,"('scribe', 'comma')",False,00:00:26
The fibre pellets were blown into cavities using special equipment.,"['pellets', 'cavities']",6,-1,[],False,00:00:34
The winemaker carefully chose grapes from different lots in the vineyards and blended them into this wonderful Pinot.,"['winemaker', 'grapes']",11,-1,[],False,00:00:42
The pin of the connector is inserted through the hole and connected to the microstrip circuit.,"['pin', 'connector']",2,-1,[],False,00:00:29
"It is the most efficient and compact form of insulation in a carafe, and it's unbreakable.","['insulation', 'carafe']",18,1,"('carafe', 'insulation')",True,00:00:50
"Early in the book, the authors review why the groundswell is taking off and how to participate, and they identify the ""tools"" - blogs, wikis and so on - that drive the groundswell.","['book', 'authors']",16,1,"('authors', 'book')",False,00:00:39
The pure lotus flower blooms out of the muddy pond.,"['flower', 'pond']",8,1,"('pond', 'flower')",False,00:00:30
The 13th Gate offers 13 themed experiences to make every nightmare seem real from crawling through a crematory oven and an old hearse to being lost in dark underground tunnels or finding yourself standing on a rickety bridge over a bed of live snakes.,"['bed', 'snakes']",13,-1,[],False,00:00:35
He was generous enough to bring in a hamper of festive goodies for one of you lot to win.,"['hamper', 'goodies']",5,-1,[],False,00:00:48
Much of the impetus behind the formation of the fund came from a wounded Vietnam veteran.,"['impetus', 'veteran']",8,1,"('veteran', 'impetus')",True,00:00:54
"Although big city marathons offer great crowd support and a large camaraderie of runners, running in a big city marathon is not for everyone.","['camaraderie', 'runners']",18,1,"('runners', 'camaraderie')",False,00:00:36
"In 48% of the divorces, the kinship systems of grandparents expanded with divorce through one or more of the following four processes.","['kinship systems', 'grandparents']",18,-1,[],False,00:00:32
The restaurant first cleaned the floor with a company-approved cleaning agent before the COF test was conducted.,"['restaurant', 'agent']",11,-1,[],False,00:00:43
The package includes an audio and video receiver that transmits information to the plasma display.,"['package', 'receiver']",3,-1,[],False,00:00:42
"When it was ready, my coffee arrived in a mug instead of to go as I had ordered it.","['coffee', 'mug']",4,0,"('coffee', 'mug')",True,00:00:56
"The world is experiencing an unprecedented glut of savings, driving down real interest rates.","['glut', 'savings']",18,1,"('savings', 'glut')",False,00:00:30
"In this manner, nuts from the Amazon powered a plane.","['nuts', 'plane']",10,0,"('nuts', 'plane')",False,00:00:22
The case centers on a tree at a high school that was a meeting place for white students.,"['case', 'tree']",18,1,"('tree', 'case')",False,00:00:38
The influence of hole shape on extraordinary optical transmission was investigated using hole arrays consisting of rectangular holes with different aspect ratios.,"['arrays', 'holes']",13,1,"('holes', 'arrays')",True,00:00:58
"For many years, a recurring comment by the senior dental students at Louisiana State University School of Dentistry (LSUSD) during exit interviews is their lack of confidence regarding the business aspects of running a dental practice.","['comment', 'students']",16,1,"('students', 'comment')",False,00:00:44
Flowers are carried into the chapel.,"['Flowers', 'chapel']",6,-1,[],False,00:00:19
"The documents define policies, procedures, training, and auditing.","['documents', 'policies']",14,0,"('documents', 'policies')",False,00:00:20
"Still filled with rage after the fight with the Darkside, I rush at Ansem, light and dark energy overflowing from me.","['rage', 'fight']",18,1,"('fight', 'rage')",False,00:00:22
The guys catch the shad with gill nets.,"['guys', 'nets']",11,0,"('guys', 'nets')",True,00:00:51
"As we watched the videotape, we noticed that for some unknown reason men were tending to wander over toward the glassware section of the store.","['section', 'store']",2,-1,[],False,00:00:30
The site has free galleries of pics of guys showing the waistband of their underwear above their jeans.,"['waistband', 'underwear']",2,1,"('underwear', 'waistband')",False,00:00:36
The plot centers around a young girl who must decide between helping her community that is being falsely accused of witchcraft or staying silent to protect her family.,"['plot', 'girl']",14,1,"('girl', 'plot')",True,00:01:04
A catamaran tiller having a grip is provided to permit tension to be applied to the tiller more easily.,"['catamaran', 'tiller']",3,0,"('catamaran', 'tiller')",False,00:00:37
This oil company imports oil to some countries illegally.,"['oil', 'countries']",6,-1,[],False,00:00:33
Sometimes the best blogging is going on well away from the most visible places.,"['blogging', 'places']",18,-1,[],False,00:00:33
Some of the nurses drank the alcohol out of jars containing diseased human viscera.,"['nurses', 'jars']",11,-1,[],False,00:00:40
Two broad topics emerging from the literature on fiscal forecasting are reviewed.,"['topics', 'literature']",8,1,"('literature', 'topics')",False,00:00:37
"The NRC, RSO, and the First Bank representative accessed the vault with the key.","['representative', 'key']",11,-1,[],False,00:00:47
The drill platform was a part of the Romulan mining ship Narada that could be lowered into the atmosphere of a planet or planetoid for mining operations.,"['platform', 'ship']",2,1,"('ship', 'platform')",False,00:00:37
"Eighty years on from the first pipes being laid for the car plant, unemployment is at 2 million and rising.","['car', 'plant']",16,1,"('plant', 'car')",True,00:00:46
"However, Greg saw people inside and went to the front entrance of the palace and was able to use enough Russian to communicate with the guide and get permission to buy our tickets without waiting to come inside for a tour.","['entrance', 'palace']",2,1,"('palace', 'entrance')",False,00:00:31
"The clarinet developed from the recorder family, and is closely related to the saxophone.","['clarinet', 'recorder family']",8,1,"('recorder family', 'clarinet')",False,00:00:24
The author's reasons for creating a work differ remarkably from his incentive to publicly distribute the work.,"['author', 'work']",17,0,"('author', 'work')",False,00:00:26
The paddle of the microaccelerometer is designed symmetric with respect to the direction of the beam.,"['paddle', 'microaccelerometer']",2,1,"('microaccelerometer', 'paddle')",False,00:00:34
Next the soldiers put up a wall of stakes on the pile of dirt.,"['soldiers', 'wall']",17,0,"('soldiers', 'wall')",False,00:00:26
"The hookah filters the smoke through water, making the end result much less harsh and allowing the flavor of the smoke to really come through.","['hookah', 'water']",11,0,"('hookah', 'water')",True,00:00:51
Then there's Labour - where negotiations are under way on issues such as apprentice training.,"['negotiations', 'apprentice training']",14,0,"('negotiations', 'apprentice training')",False,00:00:52
There's a trembling of finches on my lawn.,"['trembling', 'finches']",13,1,"('finches', 'trembling')",False,00:00:36
This is a guide teaches you how to make a video tutorial by recording the computer screen without camera in minutes.,"['computer', 'screen']",3,0,"('computer', 'screen')",False,00:00:33
The navy searched the vessel with the crew on board.,"['navy', 'crew']",18,-1,[],False,00:00:32
"Poems are published on this site purely for educational reasons, for the purpose of information and with good intentions.","['Poems', 'site']",2,-1,[],False,00:00:33
A hairdresser fine-tunes your hair color without causing excessive damage by using toners.,"['hairdresser', 'toners']",11,-1,[],False,00:00:31
Students locate these cities on the large map (B2) with assistance from the teacher (B14) marking them with colored pushpins.,"['Students', 'pushpins']",11,-1,[],False,00:00:38
We've even included a beautiful Royal Scot Crystal Hogget decanter to round off this bountiful banquet in a hamper basket.,"['banquet', 'basket']",4,-1,[],False,00:00:25
"In addition to Weinstein, the band is comprised of a formidable array of luminaries.","['array', 'luminaries']",13,-1,[],False,00:00:31
The sugar was in a cabinet above the sink.,"['sugar', 'cabinet']",4,-1,[],False,00:00:26
"He sealed the cut after making a cut of the stem with a clean, sharp blade.","['cut', 'blade']",18,1,"('blade', 'cut')",False,00:00:33
The sugar factory in Ipswich was built in 1925.,"['sugar', 'factory']",16,0,"('sugar', 'factory')",False,00:00:33
The workers locked themselves in the upstairs office and left the shocked managers downstairs in the shop.,"['managers', 'shop']",18,-1,[],False,00:00:30
