sentence,entities,gt_relation,pred_relation,pred_edge,exec_time
The tsunami resulted in significant property damage but only two fatalities in RS.,"['tsunami', 'damage']",0,0,"('tsunami', 'damage')",00:00:07
"By the end of the work day, the anger was radiating from the city.","['anger', 'city']",1,1,"('city', 'anger')",00:00:08
"In view of the terrible destruction that was caused by the flood waves, we have to fear that a number of Germans, clearly in the three-digit numbers, will be among the dead.","['destruction', 'waves']",1,1,"('waves', 'destruction')",00:00:15
It's hell in the hospitals where the amputees's screaming after the lapse of morphine is heard all the time.,"['screaming', 'lapse']",1,1,"('lapse', 'screaming')",00:00:12
Scientists discovered that these drugs were related to heart valve disease.,"['drugs', 'disease']",0,0,"('drugs', 'disease')",00:00:13
The criminals that caused the fire illegally entered our country.,"['criminals', 'fire']",0,0,"('criminals', 'fire')",00:00:11
"A jack-knifed lorry caused delays on the A27 eastbound between Havant, Hampshire, and Chichester, West Sussex.","['lorry', 'delays']",0,0,"('lorry', 'delays')",00:00:13
"Viruses that cause respiratory illness typically are capable of causing a range of clinical manifestations, and asymptomatic infections are possible.","['Viruses', 'illness']",0,0,"('Viruses', 'illness')",00:00:19
"92% of the CO2 emissions are caused by the lorries, but this is not fair so a different distribution method is needed.","['emissions', 'lorries']",1,1,"('lorries', 'emissions')",00:00:10
"Widely previously interpreted as precursory activity to the 1906 earthquake, they have been found to have a strong seasonal pattern and have been postulated to be due to large seasonal sediment loads in coastal bays that overlie faults as a result of the erosion caused by hydraulic mining in the later years of the California Gold Rush.","['erosion', 'hydraulic mining']",1,1,"('hydraulic mining', 'erosion')",00:00:08
"A shortage of folate cause megaloblastic anemia, where red blood cells are large and pale.","['shortage', 'anemia']",0,0,"('shortage', 'anemia')",00:00:08
Rains and melting snow lead to Genesee County's biggest sewage spill of the year.,"['snow', 'spill']",0,0,"('snow', 'spill')",00:00:10
A stereo buss outputs the stereo buss signal; a record buss outputs the record buss signal.,"['buss', 'signal']",0,0,"('buss', 'signal')",00:00:08
"Marital breakdown is often attributed to unresolved grief from infertility, miscarriage, and the loss of a child.","['grief', 'miscarriage']",1,1,"('miscarriage', 'grief')",00:00:09
"In addition, a brief biography establishing her credentials was included at the end of the report.","['biography', 'credentials']",0,0,"('biography', 'credentials')",00:00:11
"In addition, soil and river systems have been contaminated by the harsh chemicals used in cocaine production and the air has been polluted by the smoke caused by the burning of jungle and forest for coca bush cultivation.","['smoke', 'burning']",1,1,"('burning', 'smoke')",00:00:11
"The recession caused by the stock bubble was relatively mild, but so was the recovery.","['recession', 'stock bubble']",1,1,"('stock bubble', 'recession')",00:00:14
"In the Senate, the sizzle comes from an issue ad bill from Dem Sen. Jon Erpenbach.","['sizzle', 'bill']",1,1,"('bill', 'sizzle')",00:00:11
"Cali, Colombia, for their series of articles on the emergency caused by a landslide on the highway leading to the coast.","['emergency', 'landslide']",1,1,"('landslide', 'emergency')",00:00:07
The financial losses caused by the earthquake were estimated at $7 million.,"['losses', 'earthquake']",1,1,"('earthquake', 'losses')",00:00:15
The December 26th tsunami disaster is an example of a tsunami which was triggered by an earthquake.,"['tsunami', 'disaster']",0,0,"('tsunami', 'disaster')",00:00:07
"The violence resulted in the death of police ""capo"" Filippo Raciti, which caused widespread soul-searching and a week-long suspension of Italian football.","['violence', 'death']",0,0,"('violence', 'death')",00:00:09
"Discomfort from braces is similar to that of working out at the gym - the first few days you know you' done something different, but then the body adapts and the discomfort disappears.","['Discomfort', 'braces']",1,1,"('braces', 'Discomfort')",00:00:15
"Because the fire was caused by fireworks, costs associated with suppressing the fire were also applied.","['fire', 'fireworks']",1,1,"('fireworks', 'fire')",00:00:10
The Titan heats the dermis to cause collagen contraction while ensuring preservation the epidermis through continuous cooling.,"['preservation', 'cooling']",1,1,"('cooling', 'preservation')",00:00:10
The spiral light was caused by the missile.,"['light', 'missile']",1,1,"('missile', 'light')",00:00:10
One of these papers which was published in the journal Climate Research turned out to be so badly flawed that the scandal resulted in the resignation of the editor-in-chief.,"['scandal', 'resignation']",0,0,"('scandal', 'resignation')",00:00:13
"Bed sores (also known as: pressure sores, decubitus ulcers or pressure ulcers) are caused by pressure, which cuts off blood flow to parts of the body.","['Bed sores', 'pressure']",1,1,"('pressure', 'Bed sores')",00:00:24
The presentation generated debate and there was general discussion on how journalists can better equip themselves to handle the challenges.,"['presentation', 'debate']",0,0,"('presentation', 'debate')",00:00:11
"On my backpacking trip, the insoles caused a hot spot on the left side of my right heel and a blister on the right side of my left heel.","['insoles', 'spot']",0,0,"('insoles', 'spot')",00:00:13
Cities produce surprisingly low carbon emissions per capita.,"['Cities', 'emissions']",0,0,"('Cities', 'emissions')",00:00:15
"Excluding the current outbreaks caused by the H5N1 virus, only 24 outbreaks of highly pathogenic avian influenza have been recorded worldwide since 1959.","['outbreaks', 'virus']",1,1,"('virus', 'outbreaks')",00:00:12
Alternators generate electricity by the same principle as DC generators.,"['Alternators', 'electricity']",1,0,"('Alternators', 'electricity')",00:00:13
Many of the 550 deaths are directly and intentionally caused by the physician but not reported as euthanasia because they lacked consent.,"['deaths', 'physician']",1,1,"('physician', 'deaths')",00:00:08
"Smoke from wood fires in Tutbury Castle in Nottingham was considered unendurable by Eleanor of Aquitaine, wife of Henry II, causing her to move out in 1157.","['Smoke', 'fires']",1,1,"('fires', 'Smoke')",00:00:14
The increase is caused by the absorption of UV radiation by the oxygen and ozone.,"['increase', 'absorption']",1,1,"('absorption', 'increase')",00:00:12
Take medicine to reduce sneezing and coughing from allergies.,"['coughing', 'allergies']",1,1,"('allergies', 'coughing')",00:00:10
Generally it appears that most of the damage was caused by the winds and the rough seas.,"['damage', 'seas']",1,1,"('seas', 'damage')",00:00:12
World practices have shown that often local authorities are quicker to respond to the natural disasters caused by the climate change.,"['disasters', 'change']",1,1,"('change', 'disasters')",00:00:08
The funds raised through this appeal have a direct impact on the people affected by the severe devastations caused by the storms.,"['devastations', 'storms']",1,1,"('storms', 'devastations')",00:00:14
Outbreaks caused by the oral vaccine's live virus have happened before.,"['Outbreaks', 'virus']",1,1,"('virus', 'Outbreaks')",00:00:09
The compromise resolved the crisis through a series of secret negotiations involving Republican and Democratic politicians and various interest groups.,"['compromise', 'negotiations']",1,1,"('negotiations', 'compromise')",00:00:08
"So solar thermal power generation works essentially the same as generation from fossil fuels except that instead of using steam produced from the combustion of fossil fuels, the steam is produced by the heat collected from sunlight.","['steam', 'heat']",1,1,"('heat', 'steam')",00:00:10
Autonomic imbalance is one of the multifactorial causes of essential hypertension currently.,"['Autonomic imbalance', 'hypertension']",0,0,"('Autonomic imbalance', 'hypertension')",00:00:07
"As I move closer to the kitchen, the steady hum of the refrigerator grows stronger.","['hum', 'refrigerator']",1,1,"('refrigerator', 'hum')",00:00:20
Fatty acid and phospholipid chlorohydrins cause cell stress and endothelial adhesion.,"['acid', 'adhesion']",0,0,"('acid', 'adhesion')",00:00:08
The new cigarettes cause headaches and nausea and contain dangerous chemicals.,"['cigarettes', 'nausea']",0,0,"('cigarettes', 'nausea')",00:00:20
"On the hour, the clock plays a melody with motion.","['clock', 'melody']",0,0,"('clock', 'melody')",00:00:11
Nurses' militancy stemmed from two different kinds of experiences.,"['militancy', 'experiences']",1,1,"('experiences', 'militancy')",00:00:08
The pollution from animal factories is also destroying parts of the world's oceans.,"['pollution', 'factories']",1,1,"('factories', 'pollution')",00:00:09
The NNT and NNH are useful indices to describe the trade-off between the benefit and the harm produced by a new treatment.,"['harm', 'treatment']",1,1,"('treatment', 'harm')",00:00:13
Acne is caused by clogging of sebaceous (oil producing) glands on the skin.,"['Acne', 'clogging']",1,1,"('clogging', 'Acne')",00:00:13
"No water enters the inside of the dishwasher, and the motor makes a sound as if under strain.","['motor', 'sound']",0,0,"('motor', 'sound')",00:00:12
"The fluctuations are caused by state and federal taxes, distance from refineries to filling stations and environmental laws.","['fluctuations', 'taxes']",1,1,"('taxes', 'fluctuations')",00:00:06
Rabies is caused by a virus that is usually contracted through the saliva of an infected animal.,"['Rabies', 'virus']",1,1,"('virus', 'Rabies')",00:00:10
An accident has been caused by the fog.,"['accident', 'fog']",1,1,"('fog', 'accident')",00:00:10
The injury resulted in numerous operations to save his eyesight.,"['injury', 'operations']",0,0,"('injury', 'operations')",00:00:06
We address the longer-term budget imbalance that has been caused by the tax cuts.,"['imbalance', 'tax cuts']",1,1,"('tax cuts', 'imbalance')",00:00:07
"In North America, about 58 percent of the wildfires are caused by humans.","['wildfires', 'humans']",1,1,"('humans', 'wildfires')",00:00:16
Make sure the child takes lots of fluids in spite of the oral discomfort to prevent high fever from dehydration.,"['fever', 'dehydration']",1,1,"('dehydration', 'fever')",00:00:09
A rare and incurable congenital disease which causes blindness has been successfully treated for the first time using gene therapy.,"['disease', 'blindness']",0,0,"('disease', 'blindness')",00:00:09
"As I pulled unit apart the small fan on top of light was caked with dust, the heat caused a little discoloration on the difusing lense.","['heat', 'discoloration']",0,0,"('heat', 'discoloration')",00:00:13
"His work has led to new treatments for addicts, tests for drug intoxication and understanding of how heroin, other opiates and cocaine cause dependence and withdrawal.","['heroin', 'withdrawal']",0,0,"('heroin', 'withdrawal')",00:00:09
Shrinkage from washing has always been considered a serious problem for cotton knitted fabrics.,"['Shrinkage', 'washing']",1,1,"('washing', 'Shrinkage')",00:00:14
"This article goes some wat towards, identifying some of the conflicts arose from the previous and present agricultural development.","['conflicts', 'development']",1,1,"('development', 'conflicts')",00:00:08
The disruption caused by the latest Christmas terrorist has added too much to the weary trip home.,"['disruption', 'terrorist']",1,1,"('terrorist', 'disruption')",00:00:09
The Barbarian invasions of the fifth century were triggered by the destruction of the Gothic kingdoms by the Huns in 372-375.,"['invasions', 'destruction']",1,1,"('destruction', 'invasions')",00:00:12
Ho Chi Minh City and Hanoi are in floods after the rain.,"['floods', 'rain']",1,1,"('rain', 'floods')",00:00:10
Eighty percent of the mortgage fraud has been caused by the banks and the lending institutions.,"['fraud', 'institutions']",1,1,"('institutions', 'fraud')",00:00:08
"Using solar electricity instead of conventional electricity sources helps to reduce pollution that causes smog, acid rain, respiratory illness and global warming.","['pollution', 'smog']",0,0,"('pollution', 'smog')",00:00:09
"It gets a little bit ""chicken first or egg first"" on examination but the primary truth is that the attacks are caused by the fear of the attacks themselve.","['attacks', 'fear']",1,1,"('fear', 'attacks')",00:00:13
The big bang was caused by the collision of two parallel universes.,"['bang', 'collision']",1,1,"('collision', 'bang')",00:00:09
"The increase in customers, though, caused a strain on the company servers.","['increase', 'strain']",0,0,"('increase', 'strain')",00:00:07
The lymphomas are caused by neoplastic proliferation of cells in the lymphoid system.,"['lymphomas', 'proliferation']",1,1,"('proliferation', 'lymphomas')",00:00:11
"Acne is caused by infections that occur when pores in the skin are filled with oil, dirt, or other substances.","['Acne', 'infections']",1,1,"('infections', 'Acne')",00:00:08
"A girl with a mitochondrial disorder who developed a neurodegenerative disorder with ""features of autism"" after getting a fever from vaccines.","['fever', 'vaccines']",1,1,"('vaccines', 'fever')",00:00:22
"The storm caused a tremendous amount of damage on the landing beaches, and for the time completely isolated the troops at Anzac.","['storm', 'damage']",0,0,"('storm', 'damage')",00:00:07
"But in 1993, Montalban had a 10-hour surgery to try to alleviate the pain and discomfort from this injury.","['discomfort', 'injury']",1,1,"('injury', 'discomfort')",00:00:10
"Celiac disease (CD) is an inflammatory disorder of the upper small intestine triggered by the ingestion of wheat, rye, barley, and possibly oat products.","['disease', 'ingestion']",1,1,"('ingestion', 'disease')",00:00:14
Swine Flu - Popular name for the illness caused by the H1N1 virus.,"['illness', 'virus']",1,1,"('virus', 'illness')",00:00:11
Both ships caught fire after the collision but the blazes were brought under control.,"['fire', 'collision']",1,1,"('collision', 'fire')",00:00:13
"Sadness leads to inspiration, so in this story of love and hate, respect and betrayal, learn about the history of the Mexican Wrestling Wars.","['Sadness', 'inspiration']",0,0,"('Sadness', 'inspiration')",00:00:07
"Since the bar sold alcohol to a person that was already obviously intoxicated, it became liable for the subsequent harm that was caused by the drunk driver.","['harm', 'driver']",1,1,"('driver', 'harm')",00:00:10
Asia feels the pain caused by the crisis but could be poised for rapid recovery.,"['pain', 'crisis']",1,1,"('crisis', 'pain')",00:00:09
The boom and shaking was caused by the asteroid that passed Earth yesterday.,"['boom', 'asteroid']",1,1,"('asteroid', 'boom')",00:00:11
"On the morning of May 25, many schools in northeast China were evacuated because of the earthquake caused by the North Korea nuclear test.","['earthquake', 'nuclear test']",1,1,"('nuclear test', 'earthquake')",00:00:10
Seborrheic dermatitis is one of the causes for dandruff.,"['dermatitis', 'dandruff']",0,0,"('dermatitis', 'dandruff')",00:00:07
"Sierra Leone in the wake of the devastation caused by the decade old civil conflict in every sector of our society, the education sector, being key.","['devastation', 'conflict']",1,1,"('conflict', 'devastation')",00:00:09
Hepatitis B is a potentially life-threatening liver infection caused by the hepatitis B virus.,"['infection', 'virus']",1,1,"('virus', 'infection')",00:00:12
"On investigation, however, it was found that all the noise was caused by the arrival of Fred Riemer with an ox-team load of flour.","['noise', 'arrival']",1,1,"('arrival', 'noise')",00:00:08
"This meeting was called in response to a request of Eastern labor papers, but happened to fall amid the excitement caused by the Pittsburgh riot.","['excitement', 'riot']",1,1,"('riot', 'excitement')",00:00:13
"Many commercial soap, shower gel or cleanser products contain preservatives, colorants and chemicals that cause dryness, rashes, itchiness and roughness on the skin.","['chemicals', 'roughness']",0,0,"('chemicals', 'roughness')",00:00:10
"Priority must be given to efforts to combat insecurity and thus poverty, major cause of violence most often experienced by poorest.","['insecurity', 'violence']",0,0,"('insecurity', 'violence')",00:00:13
"The compromises contained in the agreement caused the civil war in the 26 counties in June 1922-April 1923, in which the pro-Treaty Provisional Government defeated the anti-Treaty Republican forces.","['compromises', 'war']",0,0,"('compromises', 'war')",00:00:14
The disruption has been caused by work being carried out by track operator Network Rail.,"['disruption', 'work']",1,1,"('work', 'disruption')",00:00:09
"A person with an intrinsic motivation to run gains satisfaction from a very long running around their favourite course on a calm, sunny day.","['satisfaction', 'running']",1,1,"('running', 'satisfaction')",00:00:07
The real possibility of total engulfment by flame or suffocation from smoke was a constant threat.,"['suffocation', 'smoke']",1,1,"('smoke', 'suffocation')",00:00:07
The abuse is rooted in the perpetrator's mental illness.,"['abuse', 'illness']",1,1,"('illness', 'abuse')",00:00:09
The birthmarks are caused by expansions (dilations) in tiny blood vessels called capillaries.,"['birthmarks', 'expansions']",1,1,"('expansions', 'birthmarks')",00:00:10
The dispute has resulted in major regional wars and two Palestinian Intifadas with tragedies on both sides.,"['dispute', 'wars']",0,0,"('dispute', 'wars')",00:00:11
This photograph shows the vortices created by the water strider's legs as it moves across the water.,"['vortices', 'legs']",1,1,"('legs', 'vortices')",00:00:07
"The common cold and the flu are caused by different viruses, with symptoms of the flu presenting more quickly and with more severity than those of a cold.","['cold', 'viruses']",1,1,"('viruses', 'cold')",00:00:12
"P6 stimulation for PONV is a convincing case for the efficacy of acupuncture; to that were later added nausea from chemotherapy or pregnancy, and dental pain.","['nausea', 'chemotherapy']",1,1,"('chemotherapy', 'nausea')",00:00:13
"Mixed in equal parts with peppermint, Elder flowers help reduce the fevers and aches caused by colds and the flu.","['fevers', 'colds']",1,1,"('colds', 'fevers')",00:00:08
"The following pages are organized by subject, and investigate the root causes of damage caused by the quake.","['damage', 'quake']",1,1,"('quake', 'damage')",00:00:17
"In the chaos and urgency caused by the hurricanes, it was difficult to keep track of people with psychiatric disabilities.","['chaos', 'hurricanes']",1,1,"('hurricanes', 'chaos')",00:00:07
Old scars from stitches that were successfully put in but ripped out by the individual are also common.,"['scars', 'stitches']",1,1,"('stitches', 'scars')",00:00:12
The fighting resulted in hundreds of deaths and in the deployment of peace keepers into East Timor.,"['fighting', 'deaths']",0,0,"('fighting', 'deaths')",00:00:18
"Most of the streaks are caused by meteoroids about the size of a grain of sand, although meteoroids are porous and much less dense than sand.","['streaks', 'meteoroids']",1,1,"('meteoroids', 'streaks')",00:00:07
The large anti-neutrino component is the source of an irreducible background.,"['component', 'background']",0,0,"('component', 'background')",00:00:09
The mortality caused by the war is also high.,"['mortality', 'war']",1,1,"('war', 'mortality')",00:00:14
"Before he leaves Ephesus, however, a riot breaks out, instigated by the silversmiths who manufacture idols of the goddess Artemis; they are afraid that Paul's evangelistic success will ruin their business.","['riot', 'silversmiths']",1,1,"('silversmiths', 'riot')",00:00:10
"The eruption resulted in massive lahar flows (a mixture of ash, lava, rock and water), primarily in the Rio Montana and Marker watersheds.","['eruption', 'flows']",0,0,"('eruption', 'flows')",00:00:09
"A Philippine Airforce aerial shot shows residents standing on a rooftop to escape the floodwaters caused by continuous rains brought on by Typhoon Ketsana in Marikina city, metro Manila September 27, 2009.","['floodwaters', 'rains']",1,1,"('rains', 'floodwaters')",00:00:08
The pressure was caused by the rapid power acceleration at the start.,"['pressure', 'acceleration']",1,1,"('acceleration', 'pressure')",00:00:09
"In addition to the Sudanese rebels, the bombing resulted in the deaths of several Chadian civilians and livestock.","['bombing', 'deaths']",0,0,"('bombing', 'deaths')",00:00:09
The noise signal was generated by a noise diode (ENR = 27 dB) and gated with a high-speed electronic switch.,"['signal', 'diode']",1,1,"('diode', 'signal')",00:00:10
"Ordinary warts on the hands and feet are caused by viruses, which only affect humans.","['warts', 'viruses']",1,1,"('viruses', 'warts')",00:00:08
Unemployment has been caused by people who either knowingly or unknowingly have priced people out of jobs.,"['Unemployment', 'people']",1,1,"('people', 'Unemployment')",00:00:14
The noise and vibration caused by the passage of trains resulted in unacceptable conditions within the convention center as standard construction techniques had been used.,"['noise', 'passage']",1,1,"('passage', 'noise')",00:00:09
"Because of the ethics scandal that resulted in the impeachment of the state's Governor, there was real hope for real ethics reform in Illinois this year.","['scandal', 'impeachment']",0,0,"('scandal', 'impeachment')",00:00:10
The storm ended up causing about a fraction of the damage caused by the Chesapeake Bay storm.,"['damage', 'storm']",1,1,"('storm', 'damage')",00:00:08
Primary wholesale markets are held in a fixed place and transact daily a large volume of business emanated from the village markets.,"['business', 'markets']",1,1,"('markets', 'business')",00:00:11
"High blood pressure is caused by a narrowing of the arteries, which means the heart has to work harder in order to push the blood through.","['pressure', 'narrowing']",1,1,"('narrowing', 'pressure')",00:00:09
The genreal anesthetic cause unconsciousness and insensibility to paid and are used for major surgical procedures.,"['anesthetic', 'insensibility']",0,0,"('anesthetic', 'insensibility')",00:00:19
"Acne or pimples are caused by hormonal changes, wrong food habits and improper skin care.","['Acne', 'hormonal changes']",1,1,"('hormonal changes', 'Acne')",00:00:13
In July he was sent north to quell a rebellion instigated by the discontented people of Warwick.,"['rebellion', 'people']",1,1,"('people', 'rebellion')",00:00:05
"Ironically, the damage caused by the floods, and the subsequent insurance payout, were what prompted the restoration of the station building.","['damage', 'floods']",1,1,"('floods', 'damage')",00:00:09
The court found proof that the fatal fire was caused by the dryer.,"['fire', 'dryer']",1,1,"('dryer', 'fire')",00:00:07
"13, students were evacuated from Conrad Residence for approximately 15 minutes after burnt food in one of the kitchens set off the fire alarm.","['burnt food', 'alarm']",0,0,"('burnt food', 'alarm')",00:00:11
Lavender is excellent in the reatment of headaches from fatigue and exhaustion.,"['headaches', 'exhaustion']",1,1,"('exhaustion', 'headaches')",00:00:10
"The Archbishop of York, Dr John Sentamu, visited the stoneyard to survey the damage caused by the fire.","['damage', 'fire']",1,1,"('fire', 'damage')",00:00:14
My first encounter in my luxurious hotels casino was the sound of a woman behind the roulette wheels screaming for joy after hitting the 12225.00 jackpot.,"['joy', 'hitting']",1,1,"('hitting', 'joy')",00:00:09
There was a serious increase in the acidity of the seas caused by the acid rains.,"['increase', 'rains']",1,1,"('rains', 'increase')",00:00:07
Bounding pulses are caused by the relatively low systemic arterial blood pressure due to the continuous runoff of blood from the aorta into the pulmonary artery.,"['Bounding pulses', 'arterial blood pressure']",1,1,"('arterial blood pressure', 'Bounding pulses')",00:00:13
"The deficits caused by the fiscal stimulus package end in 2011 and will help to sustain a fragile recovery in 2010, the deficits projected for the longer term are a threat to our economic future.","['deficits', 'package']",1,1,"('package', 'deficits')",00:00:15
The suffering caused by the bleeding depends on where the arteriovenous malformation is located.,"['suffering', 'bleeding']",1,1,"('bleeding', 'suffering')",00:00:08
The overall damage caused by the destruction of land and property for the Wall's construction has taken many years to recover further.,"['damage', 'destruction']",1,1,"('destruction', 'damage')",00:00:12
The pain he felt was caused by the plant rubbing against his capillaries.,"['pain', 'rubbing']",1,1,"('rubbing', 'pain')",00:00:11
Several blocks of flats caught fire after the blaze spread from a building site in Sumner Road.,"['fire', 'blaze']",1,1,"('blaze', 'fire')",00:00:08
The Hawke's Bay Herald building was completely destroyed by the fire after the earthquake.,"['fire', 'earthquake']",1,1,"('earthquake', 'fire')",00:00:12
We seek to actually reverse the injury that has been caused by the heart attack.,"['injury', 'heart attack']",1,1,"('heart attack', 'injury')",00:00:11
The echoing you see is from an expect command running after send has run.,"['echoing', 'command']",1,1,"('command', 'echoing')",00:00:09
"Lymphedema is an abnormal build-up of fluid that causes swelling, most often in the arms or legs.","['Lymphedema', 'swelling']",0,0,"('Lymphedema', 'swelling')",00:00:12
"Since the PN signal is generated by an algorithm, knowledge of the algorithm reveals the entire sequence.","['signal', 'algorithm']",1,1,"('algorithm', 'signal')",00:00:08
Argentina was the destruction of the natural grasslands caused by the expansion of the cropping frontiers starting in 1875.,"['destruction', 'expansion']",1,1,"('expansion', 'destruction')",00:00:07
"The death of the rat caused the relocation of the flea, and if its next host just happened to be a human, then contagion was the result.","['death', 'relocation']",0,0,"('death', 'relocation')",00:00:06
The injury or death was caused by the intoxication and the employee shall be barred from receiving workers' compensation.,"['injury', 'intoxication']",1,1,"('intoxication', 'injury')",00:00:10
I suffer from headaches from perfume and any other toxic thing I get to smell.,"['headaches', 'perfume']",1,1,"('perfume', 'headaches')",00:00:09
"These changes can be caused by the tumor itself, by increased pressure within the skull caused by the presence of the tumor.","['increased pressure', 'tumor']",1,1,"('tumor', 'increased pressure')",00:00:10
"Instead, the doctor had administered a drug which had caused the eventual death of the child.","['drug', 'death']",0,0,"('drug', 'death')",00:00:08
"The crashes resulted in the collapse of much of the World Trade Center complex, the destruction of part of the southwest side of the Pentagon.","['crashes', 'collapse']",0,0,"('crashes', 'collapse')",00:00:11
"The fact that you actually caused an accident that resulted in injury or death gives them the justification they need to prosecute you to the fullest extent of the law, and seek the toughest penalties possible.","['accident', 'injury']",0,0,"('accident', 'injury')",00:00:07
"With Bummer gone for the night the groms decide to surf at night with the help of floodlights, but the floodlights cause a power outage for the entire hotel.","['floodlights', 'power outage']",0,0,"('floodlights', 'power outage')",00:00:06
An inflammation of the liver caused by the hepatitis A virus (HAV).,"['inflammation', 'virus']",1,1,"('virus', 'inflammation')",00:00:07
"The conclusion of the investigation was that the loss was caused by a failure in a cell wall, resulting in a serious crack and a leakage that the pumps were not able to cope with.","['loss', 'failure']",1,1,"('failure', 'loss')",00:00:10
The tsunami was generated by an unusual type of earthquake that occurs near oceanic trenches.,"['tsunami', 'earthquake']",1,1,"('earthquake', 'tsunami')",00:00:09
"Around the globe, unique and fascinating species face extinction from hunting and habitat destruction, which affects vulnerable animals in every kind of environment.","['extinction', 'hunting']",1,1,"('hunting', 'extinction')",00:00:12
But the most damage has been caused by the corrosive effects of wind and water.,"['damage', 'effects']",1,1,"('effects', 'damage')",00:00:07
The movement developed from the rediscovery by European scholars of many Greek and Roman texts.,"['movement', 'rediscovery']",0,1,"('rediscovery', 'movement')",00:00:08
The vascular dilatation was caused by the sympathetic and the course of vaso-motor nerves.,"['dilatation', 'nerves']",1,1,"('nerves', 'dilatation')",00:00:18
Sheet and rill erosion is considered to be the most harmful of all soil erosion forms since it may be unnoticed or ignored by the peasant.,"['rill', 'erosion']",1,0,"('rill', 'erosion')",00:00:18
The problem comes from the widgets resembling HTC's own Sense UI widgets.,"['problem', 'widgets']",1,1,"('widgets', 'problem')",00:00:07
"The fire is caused by overheating of connections, which is cause by its turn by poor ohmic contact.","['fire', 'overheating']",1,1,"('overheating', 'fire')",00:00:10
Figure 9 shows the average delays obtained with this policy as compared with those of the previous subsection.,"['delays', 'policy']",1,1,"('policy', 'delays')",00:00:12
Space shuttle science shows how 1908 Tunguska explosion was caused by a comet.,"['explosion', 'comet']",1,1,"('comet', 'explosion')",00:00:09
"Cobalt metal fume and dust cause upper respiratory tract irritation, chronic interstitial pneumonitis, and skin sensitization.","['fume', 'sensitization']",0,0,"('fume', 'sensitization')",00:00:09
Every child and young person seen at Starship with intoxication from alcohol or illicit drug use had a social work assessment before leaving the hospital.,"['intoxication', 'drug use']",1,1,"('drug use', 'intoxication')",00:00:13
"With the pollution caused by the buring of coal, the light-colored tree trunks became darker due to soot.","['pollution', 'buring']",1,1,"('buring', 'pollution')",00:00:08
"Continued exposure to higher concentrations of the gas cause disorientation, convulsions, unconsciousness and death.","['exposure', 'convulsions']",0,0,"('exposure', 'convulsions')",00:00:11
These chemical studies were directed toward proof of structure of the indole components of the seeds.,"['studies', 'proof']",0,0,"('studies', 'proof')",00:00:13
The riot was instigated by the clergy of the Church of England with the active support and collaboration of the magistrates.,"['riot', 'clergy']",1,1,"('clergy', 'riot')",00:00:09
But the discomfort caused by the ointment and the duration of treatment often result in non-compliance.,"['discomfort', 'ointment']",1,1,"('ointment', 'discomfort')",00:00:10
Menopause and PMS cause stress and anxiety even without imbalanced hormones.,"['Menopause', 'anxiety']",0,0,"('Menopause', 'anxiety')",00:00:13
The killings resulted in indiscriminate firing by unknown people in Garden area of the city.,"['killings', 'firing']",0,0,"('killings', 'firing')",00:00:09
"The cow makes a sound called lowing, also known as mooing.","['cow', 'sound']",1,0,"('cow', 'sound')",00:00:08
Flashes are caused by the vitreous gel tugging on the retina.,"['Flashes', 'tugging']",1,1,"('tugging', 'Flashes')",00:00:09
"Information about Salmonellosis, an illness caused by a bacteria found in raw food, soil, or water.","['illness', 'bacteria']",1,1,"('bacteria', 'illness')",00:00:10
Natural Liver Cirrhosis Treatment Liver cirrhosis is a degenerative inflammatory disease that results in hardening and scarring of liver cells.,"['disease', 'hardening']",0,0,"('disease', 'hardening')",00:00:09
And these gases cause evaporation of water from sea and soil.,"['gases', 'evaporation']",0,0,"('gases', 'evaporation')",00:00:11
"I am currently taking a medication which causes tingling in my hands and feet, but I also have vitamin d deficiency r/t hyperparathyroidism and my calcium is up and down.","['medication', 'tingling']",0,0,"('medication', 'tingling')",00:00:09
But by far the most frequent tsunami-maker is the buckling of the seafloor caused by an undersea earthquake.,"['buckling', 'earthquake']",1,1,"('earthquake', 'buckling')",00:00:11
A magnetic bracelet helps the pain from stroke in your arm.,"['pain', 'stroke']",1,1,"('stroke', 'pain')",00:00:10
Dalindyebo R900-million and the tribe a further R80-billion in compensation for the humiliation caused by the monarch's criminal trial.,"['humiliation', 'trial']",1,1,"('trial', 'humiliation')",00:00:10
Water erosion is the detachment and removal of soil material by water.,"['Water', 'erosion']",0,0,"('Water', 'erosion')",00:00:08
"Lesions involving the medial part of the premotor cortex, the supplementary motor area (SMA) and the rear portion of the medial part of the precentral gyrus caused a contralateral, severe leg-predominant hemiplegia, distally predominant and a less severe proximal weakness of the arm.","['Lesions', 'hemiplegia']",0,0,"('Lesions', 'hemiplegia')",00:00:13
Examining the disruption caused by pupil mobility.,"['disruption', 'mobility']",1,1,"('mobility', 'disruption')",00:00:07
"The second injury also started from the aforementioned collision, but has only recently re-surfaced.","['injury', 'collision']",1,1,"('collision', 'injury')",00:00:07
Production and investigation of such a detector arose from an inadequate sensitivity of a commercial p-type Si detector.,"['Production', 'sensitivity']",1,1,"('sensitivity', 'Production')",00:00:10
"The inflammation is caused by the growth of unusual bacteria, which usually results from antibiotic use.","['inflammation', 'growth']",1,1,"('growth', 'inflammation')",00:00:07
